network_type,N,<k>,seq,MDS_1,MDS_2,Diff_MDS_1,Diff_MDS_2,UDS_0,UDS_CLAPS,UDS_RSU,UDS_CLAPG,UDS_ILP,clap_average_length,time_CLAPS,time_RSU,time_CLAPG,time_ILP
ER+ER,1000,2.0,0,441,431,256,246,687,633,675,641,633,1.2037037037037037,0.036484479904174805,0.36428070068359375,0.01087498664855957,0.3193831443786621
ER+ER,1000,2.0,1,441,431,257,247,688,633,676,635,633,1.0363636363636364,0.03371548652648926,0.34539055824279785,0.013840436935424805,0.27031373977661133
ER+ER,1000,2.0,2,441,431,257,247,688,633,677,640,633,1.1272727272727272,0.03461647033691406,0.32906126976013184,0.012367725372314453,0.2711029052734375
ER+ER,1000,2.0,3,441,431,263,253,694,633,675,638,633,1.098360655737705,0.03537487983703613,0.3467280864715576,0.013932228088378906,0.2700321674346924
ER+ER,1000,2.0,4,441,431,258,248,689,633,675,640,633,1.1428571428571428,0.03455758094787598,0.3456707000732422,0.012074470520019531,0.27098727226257324
ER+ER,1000,2.0,5,441,431,253,243,684,633,675,639,633,1.1372549019607843,0.03519177436828613,0.3643653392791748,0.01162862777709961,0.34450221061706543
ER+ER,1000,2.0,6,441,431,257,247,688,633,672,638,633,1.1636363636363636,0.03478121757507324,0.3385617733001709,0.013044595718383789,0.3651270866394043
ER+ER,1000,2.0,7,441,431,256,246,687,633,676,641,633,1.2592592592592593,0.03514742851257324,0.3509678840637207,0.01143193244934082,0.27203965187072754
ER+ER,1000,2.0,8,441,431,252,242,683,633,672,639,633,1.18,0.05222940444946289,0.4745159149169922,0.01134943962097168,0.2694873809814453
ER+ER,1000,2.0,9,441,431,248,238,679,633,674,643,633,1.326086956521739,0.03427267074584961,0.34589242935180664,0.009376287460327148,0.2700083255767822
ER+ER,1000,2.1,0,446,440,261,255,701,647,681,652,647,1.1111111111111112,0.03324103355407715,0.44984912872314453,0.015169382095336914,0.2640247344970703
ER+ER,1000,2.1,1,446,440,255,249,695,647,684,653,647,1.1875,0.03199362754821777,0.3550992012023926,0.011065244674682617,0.2624979019165039
ER+ER,1000,2.1,2,446,440,253,247,693,647,684,653,647,1.173913043478261,0.032062530517578125,0.3496887683868408,0.010675191879272461,0.26195526123046875
ER+ER,1000,2.1,3,446,440,252,246,692,647,683,654,647,1.1777777777777778,0.03131365776062012,0.3460533618927002,0.010477542877197266,0.26381468772888184
ER+ER,1000,2.1,4,446,440,257,251,697,647,689,653,647,1.12,0.03152298927307129,0.36566734313964844,0.010586261749267578,0.26555562019348145
ER+ER,1000,2.1,5,446,440,254,248,694,647,686,651,647,1.127659574468085,0.031967878341674805,0.38425421714782715,0.011137723922729492,0.26976633071899414
ER+ER,1000,2.1,6,446,440,254,248,694,647,688,652,647,1.127659574468085,0.03165555000305176,0.3631765842437744,0.010749578475952148,0.2642524242401123
ER+ER,1000,2.1,7,446,440,255,249,695,647,685,651,647,1.1458333333333333,0.03224468231201172,0.36711955070495605,0.011581659317016602,0.26368212699890137
