network_name,layer_name_1,layer_name_2,N,N_1,N_2,E_1,E_2,<k>,<k_1>,<k_2>,MDS_1,MDS_2,Diff_MDS_1,Diff_MDS_2,UDS_0,UDS_CLAPS,UDS_RSU,UDS_CLAPG,UDS_ILP,clap_average_length,time_CLAPS,time_RSU,time_CLAPG,time_ILP,mem_CLAPS,mem_RSU,mem_CLAPG,mem_ILP
Arabidopsis,direct_interaction,physical_association,6903,5493,2859,13857,4411,5.292771258872953,5.045330420535227,3.085694298705841,4572,6343,4572,6343,6598,6453,6577,6469,6453,1.193103448275862,0.2388172149658203,11.633490324020386,0.17489314079284668,6.086782693862915,2898361,18550344,3517650,14505419
Celegans,direct_interaction,physical_association,3191,3126,239,5557,313,3.6790974616107803,3.5553422904670504,2.6192468619246863,2197,3081,2197,3081,3149,3114,3138,3118,3114,1.1142857142857143,0.017607688903808594,4.117793083190918,0.015607833862304688,1.3075907230377197,1151675,9068680,1462978,6016990
Drosophila,direct_interaction,physical_association,8060,7356,2851,24094,12986,9.200992555831265,6.55084284937466,9.10978603998597,4507,6423,4507,6423,7385,7000,7342,7028,7000,1.135064935064935,1.471703290939331,16.60207438468933,0.7245821952819824,12.718405485153198,8363982,18566072,9395244,22968026
HumanHIV1,direct_interaction,physical_association,994,380,758,434,869,2.6217303822937628,2.2842105263157895,2.29287598944591,977,976,977,976,986,977,984,978,977,1.5555555555555556,0.024760723114013672,0.7090649604797363,0.0007975101470947266,0.27183079719543457,515838,2292264,304032,1805606
SacchPomb,direct_interaction,physical_association,2622,971,2402,1686,7502,7.00839054157132,3.4727085478887743,6.24646128226478,2094,1993,2094,1993,2362,2267,2353,2276,2267,1.2105263157894737,0.2937006950378418,4.013977289199829,0.07091069221496582,1.912571907043457,1612926,6199096,1215048,6335345
Rattus,direct_interaction,physical_association,2593,1017,2035,1093,3014,3.1677593521018124,2.1494591937069814,2.962162162162162,2189,2081,2189,2081,2448,2381,2438,2389,2381,1.1791044776119404,0.10767292976379395,3.4010212421417236,0.036025285720825195,0.937138557434082,1222671,8763400,1190426,4433006
CelegansConnectome,ElectrJ,MonoSyn,275,253,260,1031,1639,19.418181818181818,8.150197628458498,12.607692307692307,43,26,43,26,62,55,60,58,55,1.4285714285714286,0.013083219528198242,0.5670680999755859,0.000583648681640625,0.18656301498413086,97789,197248,39256,1582134
YeastLandscape,positive_interactions,negative_interactions,4455,4422,4432,67243,124066,85.88507295173962,30.412935323383085,55.98646209386282,2757,2746,2757,2746,3664,2757,3618,2757,2757,1.0209481808158765,3.4907045364379883,8.290730953216553,3.862352132797241,39.09126138687134,191578357,9066872,191273291,76955680
Cannes,RT,MT,438513,340349,233735,496982,411338,4.142727809665848,2.9204257982247634,3.519695381521809,387742,382343,387742,382343,421156,419243,421058,419300,-1,1.0428646105593309,1139.377881526947,901.0574440956116,274.9072844982147,-1,149591396,1164270552,171778376,-1
MLKing,RT,MT,327660,288738,79070,291318,87144,2.3100897271561984,2.0178708725557426,2.20422410522322,294270,310008,294270,310008,321954,321726,321945,321730,-1,1.0219298245614035,177.0325858592987,520.6368420124054,15.714251518249512,-1,67074415,1087382056,95419004,-1
MoscowAthletics,RT,MT,88777,74688,46821,104959,92370,4.445498270948557,2.810598757497858,3.945665406548344,78128,81115,78128,81115,86374,86162,86357,86165,-1,1.0330188679245282,26.9052836894989,135.56026482582092,4.693457126617432,-1,29760643,286603400,37660488,-1
NYClimate,RT,MT,102416,94574,50054,213754,131679,6.745684268083112,4.520354431450504,5.261477604187477,92558,94236,92558,94236,99465,99154,99426,99164,-1,1.0321543408360128,38.17242503166199,176.29085302352905,7.031434059143066,-1,36154851,291058680,41584284,-1
NBAFinals,RT,MT,747690,690288,321515,1055920,584543,4.3880832965533845,3.0593607305936072,3.636178716389593,696315,716617,696315,716617,741862,741128,741795,741142,-1,1.0245231607629428,1244.2937593460083,1381.1628062725067,137.6492338180542,-1,279558673,2327178072,322132431,-1
Sanremo,RT,MT,55871,49904,34564,212183,93848,10.954913998317553,8.503647002244309,5.430390001157273,44617,51169,44617,51169,53819,53491,53798,53507,-1,1.0609756097560976,8.974146366119385,116.66777777671814,3.3412070274353027,-1,19497843,145597656,23511564,-1
UCLFinal,RT,MT,676654,590337,293682,885278,437307,3.9091914035829243,2.999229253799101,2.9780987598831388,621947,651692,621947,651692,672121,671441,672082,671465,-1,1.0397058823529413,801.0419380664825,1212.3774988651276,114.59979462623596,-1,228946257,2208415080,288525607,-1
GravitationalWaves,RT,MT,361846,321307,118282,443548,170764,3.3954334164257722,2.7608984553713425,2.887404676958455,331974,344304,331974,344304,357106,356772,357081,356776,-1,1.0149700598802396,240.7693910598755,591.8899550437927,27.302222967147827,-1,140286113,1163531192,162170436,-1
KrackhardtHighTech,friendship,advice,21,21,21,102,190,27.80952380952381,9.714285714285714,18.095238095238095,2,0,2,0,2,2,2,2,2,0,0.001531839370727539,0.1121222972869873,6.0558319091796875e-05,0.03722429275512695,22935,37353,6840,429166
KrackhardtHighTech,friendship,Reports_to,21,21,21,102,20,11.619047619047619,9.714285714285714,1.9047619047619047,2,16,2,16,16,16,16,16,16,0,5.030632019042969e-05,0.05800461769104004,7.414817810058594e-05,0.032593488693237305,7234,37569,9768,362220
LazegaLawFirm,friendship,advice,71,69,71,575,892,41.32394366197183,16.666666666666668,25.12676056338028,6,1,6,1,6,6,6,6,6,0,0.0001571178436279297,0.4002246856689453,0.00013780593872070312,0.08615565299987793,16679,54905,16824,916348
LazegaLawFirm,friendship,co-work,71,69,71,575,1104,47.29577464788732,16.666666666666668,31.098591549295776,6,1,6,1,7,6,6,6,6,1.0,0.00023436546325683594,0.2485637664794922,0.00018978118896484375,0.09409523010253906,19895,53745,18536,987363
PhysiciansInnovation,friendship,advice,238,228,215,506,480,8.285714285714286,4.43859649122807,4.465116279069767,62,101,62,101,125,120,121,120,120,1.0,0.0012524127960205078,0.25221753120422363,0.0006275177001953125,0.1021885871887207,74903,313663,67552,903653
PhysiciansInnovation,friendship,discussion,241,228,231,506,565,8.887966804979254,4.43859649122807,4.891774891774892,65,68,65,68,104,99,101,99,99,1.0,0.0018584728240966797,0.7815182209014893,0.0004279613494873047,0.10409331321716309,65647,229408,43816,936797
